Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
Sample,%,,,,ConcentrationinPPM,,,,,,,,,,,,,,,,,w/w
,Cu,Zn,Pb,Fe,Ni,Ag,Sb,As,Co,Cd,Sn,Te,Bi,Mn,Li,Al,V,Cr,Rb,Sr,Ba,Cu/Zn
S1,73,21,5.60,0.30,580,146,55.7,9.85,2.79,12.2,9.70,0.57,41.4,19.9,5.55,11.5,3.71,3.17,0.08,1.00,0.19,3.5
S2,87,16,4.29,0.53,534,199,132,36.4,8.44,20.0,4.80,1.00,72.8,20.8,2.17,4.46,1.55,1.31,0.07,0.15,0.18,5.5
S3,73,28,5.91,0.78,451,131,105,23.8,8.47,16.5,6.70,0.64,29.0,15.7,4.00,8.89,3.33,2.70,0.14,8.90,0.35,2.6
S4,80,20,6.17,0.39,558,171,70.0,11.1,4.83,11.9,9.34,0.82,60.7,23.2,6.16,13.8,6.08,4.91,0.14,0.29,0.39,3.9
S5,78,22,3.87,0.55,513,156,67.0,14.5,6.49,5.30,7.69,0.58,58.7,23.3,3.87,11.6,4.38,3.69,0.12,0.91,0.45,3.5
S6,81,22,6.51,0.19,579,159,60.3,8.32,1.88,9.60,8.54,0.96,61.4,15.7,2.12,4.36,2.29,1.90,0.11,0.45,0.75,3.7
S7,75,20,6.45,0.33,559,130,107,211,3.37,11.6,17.6,0.80,51.0,22.3,1.75,5.50,2.16,1.57,0.13,0.34,0.50,3.8
S8,82,24,6.13,0.31,548,160,75.4,9.66,3.19,7.60,6.98,0.83,58.5,23.7,1.99,13.3,3.55,2.36,0.11,1.45,0.26,3.4
S9,80,18,4.63,0.44,482,159,109,24.2,5.28,30.5,3.92,0.91,91.3,23.7,1.69,8.40,2.70,1.78,0.07,0.11,0.43,4.4
S10,72,28,5.92,0.76,435,105,111,23.5,8.29,16.2,6.65,0.61,27.6,19.5,1.23,6.77,2.00,1.41,0.12,0.21,0.30,2.5
S11,76,19,5.93,0.43,525,138,53.2,15.1,5.13,8.50,8.29,0.86,54.5,12.9,0.92,6.57,1.71,1.28,0.10,0.56,0.24,4.1
S12,69,17,6.67,0.50,657,141,50.1,13.8,4.45,8.30,8.14,0.87,55.0,13.4,1.20,3.22,1.65,1.10,0.10,3.13,0.22,4.1
S13,78,20,3.30,1.06,458,189,549,197,1.60,17.3,38.3,1.00,181,86.6,1.55,9.28,3.08,2.23,0.07,0.52,1.17,4.0
S14,74,25,4.70,0.44,433,81.7,88.2,14.6,5.08,20.3,1.98,0.71,26.1,29.7,1.13,6.51,2.49,1.55,0.10,0.17,0.19,3.0
S15,84,20,5.20,0.14,549,171,107,20.6,1.06,23.4,4.24,0.95,92.0,12.0,0.74,3.44,1.58,1.08,0.08,0.08,0.17,4.1
S16,82,19,4.72,0.16,560,162,103,19.9,1.14,22.2,4.00,0.89,82.1,12.4,0.67,21.2,2.32,2.53,0.08,0.31,0.31,4.2
S17,77,20,6.92,0.79,500,177,153,54.7,9.06,31.8,65.8,0.81,27.9,5.8,0.40,3.31,0.93,0.67,0.08,7.27,0.35,3.8
S18,83,19,4.57,0.44,515,158,111,22.1,5.09,28.4,3.80,0.99,89.3,21.5,0.52,4.08,1.69,1.01,0.09,11.8,0.27,4.4
S19,71,28,5.25,0.72,494,114,101,38.1,6.14,18.5,10.4,0.72,33.6,17.7,1.49,8.36,2.61,1.54,0.16,4.89,3.37,2.6
S20,76,19,6.31,0.41,535,139,51.5,14.0,4.41,8.20,8.11,0.97,56.3,13.4,0.62,2.91,1.34,0.79,0.06,0.42,0.40,4.1
S21,74,21,4.88,0.49,423,80.0,68.0,14.4,5.67,22.5,1.99,0.91,25.3,26.3,0.42,2.49,0.97,0.59,0.07,0.70,0.23,3.5
S22,71,21,6.00,0.93,606,142,175,55.3,15.03,11.8,42.0,0.56,46.3,25.7,0.85,11.6,2.82,2.19,0.12,15.1,3.61,3.4
